salary,experience,credit_score,approved
103810,3,375,0
117196,8,600,1
49256,4,454,0
108696,17,439,1
97397,13,382,1
23905,2,573,0
50495,16,377,0
93563,6,779,1
48893,14,634,0
20851,5,782,1
64597,8,509,1
48221,10,454,0
32156,12,449,0
67052,11,620,1
25695,14,899,1
36361,12,430,0
92357,9,720,1
95674,6,421,1
26006,7,646,0
30458,7,453,0
69823,8,814,1
103320,11,516,1
68520,11,564,1
107841,8,423,1
99840,20,525,1
90010,7,517,1
80589,12,626,1
103886,17,574,1
109733,10,407,1
50021,1,673,0
72581,8,417,1
47653,18,672,0
47869,20,861,1
71856,20,819,1
38726,8,492,0
52325,17,619,0
117912,18,788,1
96484,12,720,1
48746,4,871,0
84686,2,398,0
34371,4,513,0
109192,13,415,1
70432,12,829,1
89352,8,361,1
109166,3,899,1
118419,8,698,1
34621,9,795,1
40730,14,353,0
114646,8,862,1
119871,5,869,1
33947,20,655,0
103748,16,553,1
40032,11,515,0
90697,16,350,1
98504,10,850,1
22552,3,721,0
60306,7,409,1
51571,18,430,0
31226,15,420,0
119693,17,478,1
36828,15,519,0
54741,16,783,1
47760,17,555,0
113447,9,758,1
108039,20,732,1
77422,16,812,1
35860,7,580,0
28392,10,371,0
97110,17,585,1
97128,7,357,1
29305,20,410,0
50007,2,382,0
63309,2,876,1
51195,8,847,1
48080,17,485,0
114811,18,834,1
51850,15,766,1
44957,3,449,0
106374,13,712,1
75519,13,828,1
115561,1,450,0
27944,12,697,0
34322,7,546,0
44931,17,809,1
38373,13,537,0
56509,14,605,0
29880,14,450,0
26630,20,365,0
32224,7,520,0
73269,15,842,1
48016,12,410,0
41579,12,352,0
71173,8,815,1
57388,13,848,1
40289,6,653,0
48534,1,412,0
118038,10,408,1
26572,18,838,1
85909,16,511,1
27455,16,432,0
44356,2,419,0
108501,7,763,1
35713,18,602,0
95880,19,390,1
101183,2,779,1
106163,18,885,1
61467,8,559,1
107782,10,594,1
54814,12,484,0
108039,20,657,1
79929,10,424,1
21220,14,452,0
29602,17,568,0
86307,8,485,1
65745,2,600,0
68434,9,511,1
77433,17,659,1
100173,20,891,1
21025,17,656,0
106951,3,487,0
54664,3,459,0
117310,17,509,1
55697,9,565,0
114058,10,558,1
110111,20,620,1
86244,15,607,1
26658,2,783,0
56265,1,353,0
63719,4,618,0
41178,14,787,1
93519,0,464,0
29862,4,386,0
68393,18,501,1
76333,4,392,0
60404,11,390,1
66898,6,605,1
107416,3,712,1
93385,13,508,1
51029,5,531,0
74040,0,533,0
116542,10,771,1
107806,7,623,1
40866,3,741,0
25075,15,577,0
46158,14,708,1
60001,7,578,1
23101,6,758,1
63025,8,421,1
56585,11,871,1
72386,17,689,1
23617,3,617,0
43405,18,621,0
25014,3,794,0
65309,10,796,1
99457,16,468,1
70488,18,544,1
53386,1,796,0
20221,16,551,0
67739,13,421,1
107062,10,671,1
106951,3,657,0
86469,9,768,1
62753,12,652,1
92667,4,546,0
75108,12,528,1
100676,18,658,1
73225,17,350,1
59829,9,565,0
76346,18,679,1
80946,14,802,1
108555,6,873,1
82021,5,436,1
57196,16,693,0
32240,7,667,0
49444,6,500,0
23201,1,600,0
82277,19,424,1
79692,13,549,1
114155,12,856,1
72383,7,501,1
105990,0,459,0
75724,7,530,1
111214,16,825,1
26582,17,605,0
35906,14,486,0
80901,16,674,1
118992,14,866,1
75933,17,806,1
40861,15,810,1
53972,7,633,0
88327,15,594,1
55992,14,429,0
113525,9,590,1
55614,10,677,0
90798,2,491,0
39769,7,742,1
110957,4,569,0
28418,13,767,1
63369,17,827,1
74496,1,561,0
75069,12,370,1
95456,12,838,1
20772,11,655,0
118759,12,779,1
90545,17,575,1
83993,7,629,1
77125,15,379,1
70968,10,764,1
114919,5,828,1
36728,19,896,1
23534,12,377,0
31003,20,788,1
37786,14,536,0
26590,8,738,1
62906,6,815,1
62840,10,738,1
56471,13,608,0
30735,15,369,0
